Nr. crt |  Code   Location 
1       |   5        0
2       |   1        8
3       |   20        0
5       |   31        0
6       |   1        11
7       |   21        0
8       |   1        9
9       |   2        6
10      |   2        5
11      |   28        0
12      |   2        6
13      |   31        0
14      |   2        3
15      |   2        2
16      |   2        1
20      |   15        0
21      |   32        0
22      |   1        8
23      |   23        0
24      |   20        0
25      |   2        5
26      |   33        0
27      |   1        8
28      |   20        0
29      |   2        7
30      |   31        0
31      |   1        10
32      |   20        0
33      |   1        8
34      |   27        0
35      |   2        4
36      |   31        0
